channel_id,channel_title,published_at,thumbnails,country,subscriber_count,total_views,topic_categories,is_linked
UCtUId5WFnN82GdDy7DgaQ7w,Better Ideas,2017-01-22T23:43:16Z,https://yt3.ggpht.com/ytc/AIdro_kNzBhztgwPy3i0rF0P7jTRjKtqcIdSZaHgr8lpvUae_g=s88-c-k-c0x00ffffff-no-rj,CA,2800000,128965908,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",True
UCvcEBQ0K3UsQ8bzWKHKQmbw,struthless,2017-09-07T05:42:07Z,https://yt3.ggpht.com/7bIAzO-Nr2t8yH6-r4wZVJkxeNJD0kORFJB-eVEzpmN075vV-Jx1Sn1DI1JGE_jnDkNoDHh0ng=s88-c-k-c0x00ffffff-no-rj,AU,1060000,45421703,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",True
UCwQnoax3HWID1WOzZ4mqLPQ,Cole Hastings,2017-04-12T23:07:15Z,https://yt3.ggpht.com/0iLNG2w8jQj9Fp4Np3BeQ-HdeyJN5p_cCiC0ak9WEqeAhmT2vO3E5BWYrUdu5zyqmAJAwJjitNw=s88-c-k-c0x00ffffff-no-rj,US,680000,58665478,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",True
